,0
Start,2022-01-10 13:30:00
End,2022-01-21 20:00:00
Duration,11 days 06:30:00
Exposure Time [%],99.943
Equity Final [$],95745.83
Equity Peak [$],103122.312
Return [%],-4.254
Buy & Hold Return [%],-4.119
Return (Ann.) [%],-73.904
Volatility (Ann.) [%],4.567
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-7.261
Avg. Drawdown [%],-0.729
Max. Drawdown Duration,10 days 05:16:00
Avg. Drawdown Duration,0 days 15:01:00
# Trades,10
Win Rate [%],20.0
Best Trade [%],2.851
Worst Trade [%],-2.665
Avg. Trade [%],-0.434
Max. Trade Duration,5 days 01:03:00
Avg. Trade Duration,1 days 03:02:00
Profit Factor,0.535
Expectancy [%],-0.422
SQN,-0.825
