,0
Start,2020-09-01 13:30:00
End,2020-09-11 20:00:00
Duration,10 days 06:30:00
Exposure Time [%],87.436
Equity Final [$],103045.155
Equity Peak [$],109509.55
Return [%],3.045
Buy & Hold Return [%],-14.816
Return (Ann.) [%],157.258
Volatility (Ann.) [%],265.968
Sharpe Ratio,0.591
Sortino Ratio,3.149
Calmar Ratio,17.555
Max. Drawdown [%],-8.958
Avg. Drawdown [%],-1.484
Max. Drawdown Duration,7 days 05:17:00
Avg. Drawdown Duration,0 days 11:42:00
# Trades,4
Win Rate [%],50.0
Best Trade [%],7.582
Worst Trade [%],-3.721
Avg. Trade [%],0.754
Max. Trade Duration,7 days 03:10:00
Avg. Trade Duration,2 days 07:37:00
Profit Factor,1.494
Expectancy [%],0.861
SQN,0.288
