,0
Start,2022-01-03 13:30:00
End,2022-07-12 20:00:00
Duration,190 days 06:30:00
Exposure Time [%],98.699
Equity Final [$],199764.84
Equity Peak [$],202970.64
Return [%],99.765
Buy & Hold Return [%],-18.122
Return (Ann.) [%],278.528
Volatility (Ann.) [%],108.911
Sharpe Ratio,2.557
Sortino Ratio,18.092
Calmar Ratio,35.154
Max. Drawdown [%],-7.923
Avg. Drawdown [%],-1.055
Max. Drawdown Duration,21 days 17:30:00
Avg. Drawdown Duration,1 days 09:27:00
# Trades,40
Win Rate [%],62.5
Best Trade [%],14.785
Worst Trade [%],-2.654
Avg. Trade [%],1.746
Max. Trade Duration,15 days 21:45:00
Avg. Trade Duration,4 days 17:12:00
Profit Factor,4.514
Expectancy [%],1.809
SQN,3.166
