,0
Start,2018-09-04 13:30:00
End,2019-01-31 20:00:00
Duration,149 days 06:30:00
Exposure Time [%],87.599
Equity Final [$],115659.809
Equity Peak [$],141811.442
Return [%],15.66
Buy & Hold Return [%],-27.004
Return (Ann.) [%],42.524
Volatility (Ann.) [%],48.018
Sharpe Ratio,0.886
Sortino Ratio,1.92
Calmar Ratio,1.56
Max. Drawdown [%],-27.256
Avg. Drawdown [%],-0.578
Max. Drawdown Duration,58 days 05:26:00
Avg. Drawdown Duration,0 days 16:53:00
# Trades,727
Win Rate [%],64.512
Best Trade [%],4.929
Worst Trade [%],-8.967
Avg. Trade [%],0.02
Max. Trade Duration,2 days 20:59:00
Avg. Trade Duration,0 days 03:54:00
Profit Factor,1.109
Expectancy [%],0.023
SQN,0.658
