,0
Start,2014-07-01 13:30:00
End,2015-08-28 20:00:00
Duration,423 days 06:30:00
Exposure Time [%],86.614
Equity Final [$],133039.507
Equity Peak [$],151046.733
Return [%],33.04
Buy & Hold Return [%],21.328
Return (Ann.) [%],27.421
Volatility (Ann.) [%],25.288
Sharpe Ratio,1.084
Sortino Ratio,2.013
Calmar Ratio,1.601
Max. Drawdown [%],-17.125
Avg. Drawdown [%],-0.364
Max. Drawdown Duration,63 days 21:39:00
Avg. Drawdown Duration,0 days 19:28:00
# Trades,2024
Win Rate [%],64.872
Best Trade [%],1.968
Worst Trade [%],-4.284
Avg. Trade [%],0.014
Max. Trade Duration,3 days 19:59:00
Avg. Trade Duration,0 days 04:23:00
Profit Factor,1.107
Expectancy [%],0.015
SQN,1.226
