,0
Start,2021-07-01 13:30:00
End,2022-07-29 20:00:00
Duration,393 days 06:30:00
Exposure Time [%],87.326
Equity Final [$],89618.99
Equity Peak [$],101863.589
Return [%],-10.381
Buy & Hold Return [%],18.791
Return (Ann.) [%],-9.209
Volatility (Ann.) [%],24.622
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-23.137
Avg. Drawdown [%],-2.041
Max. Drawdown Duration,225 days 01:17:00
Avg. Drawdown Duration,17 days 02:21:00
# Trades,1875
Win Rate [%],64.427
Best Trade [%],2.904
Worst Trade [%],-5.554
Avg. Trade [%],-0.006
Max. Trade Duration,3 days 20:20:00
Avg. Trade Duration,0 days 04:10:00
Profit Factor,0.982
Expectancy [%],-0.004
SQN,-0.397
