,0
Start,2024-01-30 00:00:00+00:00
End,2024-04-22 05:54:17+01:00
Duration,83 days 04:54:17
Exposure Time [%],4.993
Equity Final [$],10.002
Equity Peak [$],10.006
Return [%],0.023
Buy & Hold Return [%],-1.558
Return (Ann.) [%],0.097
Volatility (Ann.) [%],0.138
Sharpe Ratio,0.697
Sortino Ratio,1.002
Calmar Ratio,1.657
Max. Drawdown [%],-0.058
Avg. Drawdown [%],-0.006
Max. Drawdown Duration,46 days 13:15:00
Avg. Drawdown Duration,1 days 14:05:00
# Trades,31
Win Rate [%],51.613
Best Trade [%],0.101
Worst Trade [%],-0.093
Avg. Trade [%],0.007
Max. Trade Duration,2 days 02:30:00
Avg. Trade Duration,0 days 03:47:00
Profit Factor,1.165
Expectancy [%],0.007
SQN,0.412
Kelly Criterion,0.072
