,0
Start,2020-09-01 13:30:00
End,2020-12-18 20:00:00
Duration,108 days 06:30:00
Exposure Time [%],99.99
Equity Final [$],104535.955
Equity Peak [$],112207.395
Return [%],4.536
Buy & Hold Return [%],-3.683
Return (Ann.) [%],-17.799
Volatility (Ann.) [%],34.242
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-23.668
Avg. Drawdown [%],-1.332
Max. Drawdown Duration,107 days 06:30:00
Avg. Drawdown Duration,4 days 22:06:00
# Trades,1
Win Rate [%],100.0
Best Trade [%],4.539
Worst Trade [%],4.539
Avg. Trade [%],4.539
Max. Trade Duration,108 days 06:27:00
Avg. Trade Duration,108 days 06:27:00
Profit Factor,
Expectancy [%],4.539
SQN,
