,0
Start,2018-09-04 13:30:00
End,2018-10-31 20:00:00
Duration,57 days 06:30:00
Exposure Time [%],99.47
Equity Final [$],127489.671
Equity Peak [$],133765.28
Return [%],27.49
Buy & Hold Return [%],-4.166
Return (Ann.) [%],157.667
Volatility (Ann.) [%],98.29
Sharpe Ratio,1.604
Sortino Ratio,8.424
Calmar Ratio,19.117
Max. Drawdown [%],-8.248
Avg. Drawdown [%],-0.564
Max. Drawdown Duration,21 days 23:12:00
Avg. Drawdown Duration,0 days 17:36:00
# Trades,61
Win Rate [%],100.0
Best Trade [%],21.366
Worst Trade [%],4.052
Avg. Trade [%],12.086
Max. Trade Duration,57 days 05:03:00
Avg. Trade Duration,28 days 05:47:00
Profit Factor,
Expectancy [%],12.175
SQN,5.402
