,0
Start,2014-07-01 13:30:00
End,2014-08-29 20:00:00
Duration,59 days 06:30:00
Exposure Time [%],99.839
Equity Final [$],91584.949
Equity Peak [$],102310.549
Return [%],-8.415
Buy & Hold Return [%],9.695
Return (Ann.) [%],-44.508
Volatility (Ann.) [%],9.364
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-10.888
Avg. Drawdown [%],-0.855
Max. Drawdown Duration,43 days 00:16:00
Avg. Drawdown Duration,2 days 19:43:00
# Trades,14
Win Rate [%],28.571
Best Trade [%],1.855
Worst Trade [%],-8.831
Avg. Trade [%],-5.614
Max. Trade Duration,59 days 06:03:00
Avg. Trade Duration,40 days 21:00:00
Profit Factor,0.084
Expectancy [%],-5.505
SQN,-1.137
