,0
Start,2021-07-01 13:30:00
End,2021-08-31 20:00:00
Duration,61 days 06:30:00
Exposure Time [%],99.475
Equity Final [$],121090.179
Equity Peak [$],122192.639
Return [%],21.09
Buy & Hold Return [%],11.29
Return (Ann.) [%],81.407
Volatility (Ann.) [%],37.35
Sharpe Ratio,2.18
Sortino Ratio,6.892
Calmar Ratio,14.918
Max. Drawdown [%],-5.457
Avg. Drawdown [%],-0.626
Max. Drawdown Duration,31 days 23:50:00
Avg. Drawdown Duration,1 days 09:38:00
# Trades,1
Win Rate [%],100.0
Best Trade [%],21.108
Worst Trade [%],21.108
Avg. Trade [%],21.108
Max. Trade Duration,61 days 05:00:00
Avg. Trade Duration,61 days 05:00:00
Profit Factor,
Expectancy [%],21.108
SQN,
