,0
Start,2020-09-01 13:30:00
End,2021-02-19 20:00:00
Duration,171 days 06:30:00
Exposure Time [%],99.445
Equity Final [$],114927.9
Equity Peak [$],117505.24
Return [%],14.928
Buy & Hold Return [%],-1.481
Return (Ann.) [%],34.536
Volatility (Ann.) [%],48.956
Sharpe Ratio,0.705
Sortino Ratio,1.441
Calmar Ratio,1.618
Max. Drawdown [%],-21.341
Avg. Drawdown [%],-1.559
Max. Drawdown Duration,107 days 05:23:00
Avg. Drawdown Duration,3 days 19:14:00
# Trades,69
Win Rate [%],71.014
Best Trade [%],15.234
Worst Trade [%],-12.537
Avg. Trade [%],0.343
Max. Trade Duration,63 days 00:01:00
Avg. Trade Duration,16 days 05:09:00
Profit Factor,1.383
Expectancy [%],0.451
SQN,0.918
