,0
Start,2018-09-04 13:30:00
End,2019-01-31 20:00:00
Duration,149 days 06:30:00
Exposure Time [%],98.313
Equity Final [$],76321.205
Equity Peak [$],109587.23
Return [%],-23.679
Buy & Hold Return [%],-27.004
Return (Ann.) [%],-48.373
Volatility (Ann.) [%],21.183
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-31.465
Avg. Drawdown [%],-0.819
Max. Drawdown Duration,114 days 00:14:00
Avg. Drawdown Duration,2 days 01:21:00
# Trades,51
Win Rate [%],84.314
Best Trade [%],5.214
Worst Trade [%],-12.65
Avg. Trade [%],-0.021
Max. Trade Duration,31 days 21:25:00
Avg. Trade Duration,7 days 15:45:00
Profit Factor,1.048
Expectancy [%],0.064
SQN,-1.471
