,0
Start,2014-07-01 13:30:00
End,2015-08-28 20:00:00
Duration,423 days 06:30:00
Exposure Time [%],99.04
Equity Final [$],174421.183
Equity Peak [$],181115.833
Return [%],74.421
Buy & Hold Return [%],21.328
Return (Ann.) [%],61.096
Volatility (Ann.) [%],41.925
Sharpe Ratio,1.457
Sortino Ratio,4.381
Calmar Ratio,3.043
Max. Drawdown [%],-20.079
Avg. Drawdown [%],-0.484
Max. Drawdown Duration,98 days 23:20:00
Avg. Drawdown Duration,0 days 23:10:00
# Trades,140
Win Rate [%],83.571
Best Trade [%],7.254
Worst Trade [%],-10.495
Avg. Trade [%],1.186
Max. Trade Duration,68 days 23:52:00
Avg. Trade Duration,9 days 01:47:00
Profit Factor,4.184
Expectancy [%],1.22
SQN,3.278
