,0
Start,2021-07-01 13:30:00
End,2021-12-31 20:00:00
Duration,183 days 06:30:00
Exposure Time [%],99.214
Equity Final [$],98049.73
Equity Peak [$],100043.5
Return [%],-1.95
Buy & Hold Return [%],30.021
Return (Ann.) [%],-3.803
Volatility (Ann.) [%],26.229
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-14.112
Avg. Drawdown [%],-14.112
Max. Drawdown Duration,182 days 06:29:00
Avg. Drawdown Duration,182 days 06:29:00
# Trades,32
Win Rate [%],65.625
Best Trade [%],6.453
Worst Trade [%],-6.679
Avg. Trade [%],0.025
Max. Trade Duration,87 days 00:04:00
Avg. Trade Duration,10 days 19:49:00
Profit Factor,1.069
Expectancy [%],0.071
SQN,-0.183
